Papel;EV/EBIT;P/VP;Div.Yield;Liq.2meses
BPIA3;0,00;1,06;0;0,00
DSUL3;1,27;0,97;0;0,00
ETER3;10,59;0,32;0,0207;420590,00
CEPE6;8,02;1,51;0;0,00
RNPT4;56,05;0,39;0;0,00
CAMB3;4,30;1,30;0,0993;260950,00
RNPT3;56,15;0,39;0;0,00
ELPL6;5,49;1,02;0;0,00
BRAP3;-181,51;0,71;0,1161;486108,00
GRND3;7,39;1,17;0,1119;17607000,00
ELPL5;5,51;1,03;0;0,00
VLID3;5,04;0,94;0,113;4307200,00
MGEL4;7,34;1,74;0;11953,10
TASA3;13,10;0,55;0,0368;93383,60
BPAR3;0,00;0,78;0;0,00
SHUL4;8,93;1,06;0,075;3047330,00
BSLI3;0,00;1,04;0,4767;56841,40
EQMA3B;5,72;1,20;0,0884;9604,65
EUCA4;4,36;0,57;0,0437;614780,00
MRSA3B;5,75;1,11;0;3088,49
MRSA3B;5,75;1,11;0;3088,49
MYPK3;5,37;0,39;0,0463;14238600,00
CMIG3;7,68;1,38;0,0603;2843840,00
CLSC3;6,94;0,95;0,0818;17651,00
TIET11;8,78;3,13;0;0,00
TIET3;8,78;3,13;0;0,00
TIET4;8,81;3,15;0;0,00
ENGI4;7,61;1,15;0,0631;62882,00
IRBR3;0,00;0,73;0;31075100,00
WLMM4;6,55;0,87;0,0903;48244,00
VULC4;9,06;2,11;0;0,00
ENBR3;6,08;1,13;0;0,00
BMEB4;0,00;2,71;0,0223;985832,00
SYNE3;4,70;0,72;1,2861;7638120,00
BRAP4;-200,94;0,78;0,1159;39065100,00
TECN3;4,92;0,96;0,0382;344247,00
LAVV3;6,61;1,70;0,08;8764690,00
MTRE3;9,00;0,37;0,1562;2321530,00
BALM4;3,13;1,01;0,1219;38356,10
COCE5;6,15;0,48;0,0419;270527,00
LPSB3;2,86;0,77;0,0578;189979,00
WLMM3;6,76;0,92;0,0782;719,77
ISAE3;8,02;1,02;0,0738;68836,80
BSLI4;0,00;1,15;0,477;39438,30
CLSC4;7,21;1,03;0,0833;655721,00
EUCA3;4,68;0,63;0,0361;7486,77
CIQU3;7,50;1,05;0;0,00
CIQU4;7,50;1,05;0;0,00
BEES4;0,00;1,18;0,059;43900,50
NUTR3;8,78;0,87;0;9396,09
BEES3;0,00;1,18;0,0588;141329,00
MELK3;5,74;0,73;0,3098;2763340,00
BRSR5;0,00;0,69;0,0847;78,26
AZZA3;7,99;0,63;0,0224;66102000,00
TRIS3;8,81;0,87;0,0421;3310880,00
EQPA3;5,94;2,62;0,1189;209889,00
RSUL4;4,20;1,60;0,0335;70954,80
ENGI11;7,93;1,27;0,0574;124624000,00
CYRE3;9,92;1,17;0,0359;155550000,00
FIGE4;0,00;0,50;0;0,00
MDNE3;6,59;1,32;0,0473;19320900,00
PINE3;0,00;1,70;0;37024,90
TAEE3;9,18;1,64;0,0818;765899,00
TAEE4;9,21;1,65;0,0814;1378740,00
LEVE3;5,93;5,10;0,0948;7699140,00
TAEE11;9,23;1,65;0,0811;59762500,00
PFRM3;5,26;0,62;0,0858;1628320,00
PINE4;0,00;1,75;0,0718;2792750,00
WHRL3;4,74;2,98;0,1813;24540,70
POMO3;7,24;2,05;0,0821;3816290,00
COCE3;6,35;0,53;0,0381;3489,42
BBSE3;0,00;6,08;0,1333;178098000,00
VULC3;10,45;2,44;0,1248;22330900,00
ESTC11;7,81;0,71;0;0,00
ECOR3;6,74;1,44;0,0396;32527100,00
BALM3;3,67;1,13;0,1094;1305,60
TTEN3;8,34;1,57;0,0135;13549400,00
SANB3;0,00;1,12;0,0649;776438,00
WHRL4;4,85;3,04;0,1906;70232,30
BBDC3;0,00;0,96;0,0806;99070100,00
WIZC3;2,12;2,10;0,0296;3330150,00
ALLD3;8,61;0,54;0,2344;1814550,00
TEND3;6,60;2,41;0,025;43148900,00
EEEL4;7,10;1,36;0;0,00
EZTC3;11,40;0,74;0,0819;19924500,00
SANB11;0,00;1,17;0,0652;76513800,00
EEEL3;7,20;1,39;0;0,00
GETT4;6,86;1,24;0;0,00
GETT3;6,86;1,24;0;0,00
EQPA5;6,50;2,95;0,1054;29,07
DPPI4;73,74;2,28;0;0,00
ROMI3;15,48;0,59;0,0969;978537,00
CCTU4;21,77;0,92;0;0,00
SUZB3;9,87;1,39;0,0425;233734000,00
SBFG3;8,98;1,02;0,0449;23863900,00
COCE6;6,55;0,58;0;0,00
SANB4;0,00;1,22;0,0655;1218180,00
ITSA4;405,01;1,36;0,0887;234330000,00
UGPA3;7,17;1,43;0,0363;143261000,00
BLAU3;6,47;0,99;0,0279;2532470,00
ITSA3;408,18;1,38;0,088;1447320,00
CSUD3;5,83;1,49;0,0641;591680,00
MBRF3;10,53;7,94;0,2213;235775000,00
BRFS3;4,63;1,70;0,1643;194607000,00
SBSP3;6,23;2,20;0,0286;370102000,00
NEOE3;7,26;0,98;0,029;48690500,00
WSON33;5,08;0,98;0;0,00
INTB3;8,00;1,19;0,0434;24585600,00
CMET4;5,34;5,38;0;0,00
RDTR3;-1897,05;1,37;0;0,00
TGMA3;5,96;2,31;0,0779;6818520,00
CEBR3;7,71;1,50;0,162;332224,00
EKTR3;6,45;3,42;0,1159;1639,12
CESP5;28,60;1,20;0;0,00
CEBR5;7,81;1,52;0,1607;206628,00
EQPA7;6,96;3,24;0,0962;95,58
POMO4;8,31;2,41;0,0701;83767300,00
CESP6;28,82;1,21;0;0,00
KEPL3;5,77;1,73;0,1015;8692310,00
